2.472961999999999989e+03,-3.104999999999999982e+00,9.599999999999999645e-01,1.788049999999999917e+00,1.029179999999999984e+00,7.588730000000000198e-01
2.473260999999999967e+03,-2.806000000000000050e+00,1.000000000000000000e+00,1.724299999999999944e+00,1.026450000000000085e+00,6.978480000000000238e-01
2.473572000000000116e+03,-2.495000000000000107e+00,1.040000000000000036e+00,1.619760000000000089e+00,1.023640000000000105e+00,5.961109999999999465e-01
2.473894999999999982e+03,-2.172000000000000153e+00,1.080000000000000071e+00,1.505079999999999973e+00,1.020850000000000035e+00,4.842339999999999978e-01
2.474230000000000018e+03,-1.836999999999999966e+00,1.120000000000000107e+00,1.410630000000000051e+00,1.018049999999999899e+00,3.925850000000000173e-01
2.474577999999999975e+03,-1.489000000000000101e+00,1.159999999999999920e+00,1.371350000000000069e+00,1.015279999999999960e+00,3.560729999999999729e-01
2.474936999999999898e+03,-1.129000000000000004e+00,1.199999999999999956e+00,1.374789999999999957e+00,1.012659999999999894e+00,3.621340000000000114e-01
2.475309000000000196e+03,-7.580000000000000071e-01,1.239999999999999991e+00,1.369790000000000063e+00,1.010059999999999958e+00,3.597339999999999982e-01
2.475693000000000211e+03,-3.739999999999999991e-01,1.280000000000000027e+00,1.328359999999999985e+00,1.007660000000000000e+00,3.207030000000000158e-01
2.476090000000000146e+03,2.299999999999999961e-02,1.320000000000000062e+00,1.276340000000000030e+00,1.005419999999999980e+00,2.709239999999999982e-01
2.476498000000000047e+03,4.309999999999999942e-01,1.360000000000000098e+00,1.247959999999999958e+00,1.003290000000000015e+00,2.446679999999999966e-01
2.476918999999999869e+03,8.519999999999999796e-01,1.399999999999999911e+00,1.234280000000000044e+00,1.001349999999999962e+00,2.329239999999999922e-01
2.477351000000000113e+03,1.284999999999999920e+00,1.439999999999999947e+00,1.154619999999999980e+00,9.995979999999999865e-01,1.550199999999999911e-01
2.477795999999999822e+03,1.729999999999999982e+00,1.479999999999999982e+00,1.045879999999999921e+00,9.979890000000000150e-01,4.788719999999999782e-02
2.478253999999999905e+03,2.186999999999999833e+00,1.520000000000000018e+00,9.817909999999999693e-01,9.965880000000000294e-01,-1.479699999999999939e-02
2.478722999999999956e+03,2.656000000000000139e+00,1.560000000000000053e+00,9.444789999999999575e-01,9.953999999999999515e-01,-5.092069999999999930e-02
2.479204999999999927e+03,3.137999999999999901e+00,1.600000000000000089e+00,9.010839999999999961e-01,9.944269999999999499e-01,-9.334290000000000642e-02
2.479697999999999865e+03,3.630999999999999783e+00,1.639999999999999902e+00,8.708679999999999755e-01,9.936139999999999972e-01,-1.227459999999999940e-01
2.480204000000000178e+03,4.136999999999999567e+00,1.679999999999999938e+00,8.658069999999999933e-01,9.929620000000000113e-01,-1.271549999999999903e-01
2.480722999999999956e+03,4.655999999999999694e+00,1.719999999999999973e+00,8.856659999999999533e-01,9.925300000000000233e-01,-1.068629999999999997e-01
2.481253000000000156e+03,5.185999999999999943e+00,1.760000000000000009e+00,9.125689999999999635e-01,9.922609999999999486e-01,-7.969229999999999370e-02
2.481795000000000073e+03,5.727999999999999758e+00,1.800000000000000044e+00,9.229570000000000274e-01,9.921590000000000131e-01,-6.920229999999999437e-02
2.482349999999999909e+03,6.283000000000000362e+00,1.840000000000000080e+00,9.205790000000000362e-01,9.922739999999999894e-01,-7.169499999999999484e-02
2.482916999999999916e+03,6.849999999999999645e+00,1.879999999999999893e+00,9.217929999999999735e-01,9.924920000000000408e-01,-7.069870000000000321e-02
2.483496000000000095e+03,7.429000000000000270e+00,1.919999999999999929e+00,9.319479999999999986e-01,9.928599999999999648e-01,-6.091150000000000037e-02
2.484086999999999989e+03,8.021000000000000796e+00,1.959999999999999964e+00,9.465240000000000320e-01,9.933229999999999560e-01,-4.679950000000000082e-02
2.484690999999999804e+03,8.624000000000000554e+00,2.000000000000000000e+00,9.599490000000000522e-01,9.939419999999999922e-01,-3.399289999999999951e-02
2.485306999999999789e+03,9.240000000000000213e+00,2.040000000000000036e+00,9.658579999999999943e-01,9.947120000000000406e-01,-2.885419999999999999e-02
2.485934999999999945e+03,9.868000000000000327e+00,2.080000000000000071e+00,9.634310000000000374e-01,9.955720000000000125e-01,-3.214050000000000240e-02
2.486574999999999818e+03,1.050799999999999912e+01,2.120000000000000107e+00,9.578379999999999672e-01,9.965119999999999534e-01,-3.867400000000000004e-02
2.487226999999999862e+03,1.116000000000000014e+01,2.160000000000000142e+00,9.533300000000000107e-01,9.975300000000000278e-01,-4.420009999999999911e-02
2.487891000000000076e+03,1.182399999999999984e+01,2.200000000000000178e+00,9.495580000000000132e-01,9.986190000000000344e-01,-4.906100000000000044e-02
2.488568000000000211e+03,1.250099999999999945e+01,2.240000000000000213e+00,9.439579999999999638e-01,9.997179999999999955e-01,-5.576070000000000332e-02
2.489257000000000062e+03,1.318999999999999950e+01,2.279999999999999805e+00,9.439819999999999878e-01,1.000879999999999992e+00,-5.690259999999999763e-02
2.489958000000000084e+03,1.389100000000000001e+01,2.319999999999999840e+00,9.554570000000000007e-01,1.002119999999999900e+00,-4.665810000000000096e-02
2.490670999999999822e+03,1.460399999999999920e+01,2.359999999999999876e+00,9.703180000000000138e-01,1.003339999999999899e+00,-3.301989999999999786e-02
